,Giocatore,Miglioramento Stagionale,Gol/Presenze,Base Moltiplicativa,Base Additiva,Live Updates,Punteggio Goduria,Squadra
1,SKORUPSKI LUKASZ,0.006500000000000003,0.23333333333333334,47.50533333333334,15.0,8,98.75,Bologna
8,MONTIPÃ’ LORENZO,0.013200000000000003,0.2604761904761905,44.746742857142856,10.0,8,89.01585586380276,Verona
5,MERET ALEX,0.007000000000000002,0.2184848484848485,42.03878787878787,12.0,8,88.09566517571231,Napoli
10,VICARIO GUGLIELMO,-9.999999999999786e-05,0.2,37.4925,16.0,8,87.35363046956131,Empoli
0,PROVEDEL IVAN,0.0146,0.16523809523809524,43.185428571428574,10.0,8,87.04389081125728,Lazio
7,SILVESTRI MARCO,-0.0008000000000000096,0.23333333333333334,42.07013333333333,11.0,8,86.88525498891352,Udinese
4,MILINKOVIC SAVIC VANJA,0.0054,0.2,40.937400000000004,9.0,8,82.95459457183755,Torino
15,MUSSO JUAN,0.005000000000000009,0.2,32.825,13.0,8,77.70850290493698,Atalanta
12,PATRICIO RUI,0.0,0.2,35.5,8.0,8,74.83707092536977,Roma
2,SZCZESNY WOJCIECH,0.00030000000000000247,0.16523809523809524,40.50181428571429,14.0,0,68.65444280942891,Juventus
6,DI GREGORIO MICHELE,0.0,0.2,39.5,8.0,2,64.8891352549889,Monza
17,PERIN MATTIA,0.010500000000000008,0.21285714285714286,32.448142857142855,3.0,8,64.73252627273929,Juventus
9,FALCONE WLADIMIRO,0.0013999999999999967,0.0,23.2078,7.0,8,58.061824637233705,Lecce
25,SEPE LUIGI,0.020300000000000002,0.2184848484848485,26.400457575757578,3.0,8,57.094202501027,Salernitana
14,TERRACCIANO PIETRO,-0.0245,0.0,17.9075,7.0,8,51.367460495663636,Fiorentina
13,CONSIGLI ANDREA,-0.0075,0.2666666666666667,38.02333333333333,10.0,-5,48.02408150663785,Sassuolo
11,ONANA ANDRE,0.0,0.0,21.599999999999998,10.0,2,44.78114737994329,Inter
24,OCHOA GUILLERMO,0.0,0.2184848484848485,25.40575757575758,5.0,2,43.33788040385896,Salernitana
26,ROSSI FRANCESCO,0.01,0.0,14.879999999999999,1.0,8,40.043679306183165,Atalanta
35,TURATI STEFANO,0.0,0.1,16.0,9.0,2,36.45825731847652,Frosinone
29,RADUNOVIC BORIS,-0.0567,0.1,15.1052,8.0,2,34.07811052794072,Cagliari
16,GOLLINI PIERLUIGI,-0.0,0.0,18.599999999999998,4.0,2,33.49209913272895,Napoli
41,VINCENZO FIORILLO,0.03,0.0,10.559999999999999,0.0,8,33.3374498301945,Salernitana
3,MAIGNAN MIKE,-0.0025999999999999977,0.0,24.9816,11.0,-5,32.802162564203314,Milan
44,PEGOLO GIANLUCA,-0.0525,0.0,7.425,1.0,8,30.627894411855507,Sassuolo
23,SVILAR MILE,0.0,0.0,14.7,2.0,2,26.066336411350303,Roma
19,CEROFOLINI MICHELE,0.0,0.0,16.5,0.0,2,25.83976535967891,Fiorentina
22,ADAMONIS MARIUS,0.0,0.0,15.0,0.0,2,23.945241236071737,Lazio
34,MIRANTE ANTONIO,0.023000000000000007,0.0,12.92,2.0,2,23.81816778466979,Milan
27,BRANCOLINI FEDERICO,0.0,0.0,13.2,1.0,2,22.92181228774313,Lecce
28,BOER PIETRO,0.0,0.0,13.2,0.0,2,21.67181228774313,Roma
33,MAXIMIANO LUIS,0.0,0.0,12.0,1.0,2,21.40619298885739,Lazio
30,GEMELLO LUCA,0.0,0.0,12.9,0.0,2,21.292907463021695,Torino
21,VASQUEZ DEVIS,0.0,0.0,15.299999999999999,-3.0,2,20.57414606079317,Milan
38,PERISAN SAMUEL,0.0,0.0,10.799999999999999,0.0,2,18.640573689971646,Empoli
37,PINSOGLIO CARLO,-0.045,0.0,9.945,0.0,2,17.560694939515564,Juventus
31,SCUFFET SIMONE,-0.0,0.0,12.6,-3.0,2,17.16400263830026,Cagliari
39,BERISHA ETRIT,-0.0555,0.0,8.5575,1.0,2,17.058260125178926,Torino
36,PIANA EDOARDO,0.0,0.0,11.7,-3.0,2,16.027288164135953,Udinese
18,SPORTIELLO MARCO,-0.00030000000000000247,0.0,18.5814,4.0,-5,15.968607033596225,Milan
40,MARFELLA DAVIDE,0.0,0.0,10.2,-2.0,2,15.38276404052878,Napoli
45,ARESTI SIMONE,0.0,0.0,8.1,0.0,2,15.230430267478738,Cagliari
47,MARTINEZ JOSEP,0.0,0.1,0.0,8.0,2,15.0,Genoa
42,LAMANNA EUGENIO,0.0,0.0,9.6,-2.0,2,14.624954391085911,Monza
46,PADELLI DANIELE,-0.065,0.0,6.109999999999999,1.0,2,13.96702826349322,Udinese
43,BERARDI ALESSANDRO,-0.085,0.0,6.879999999999999,0.0,2,13.689550646944902,Verona
20,CRAGNO ALESSIO,-0.029800000000000004,0.0,13.7802,3.0,-5,8.654614218754382,Sassuolo
48,LEALI NICOLA,0.0,0.0,0.0,-3.0,2,1.25,Genoa
32,RAVAGLIA FEDERICO,-0.0144,0.0,11.709599999999998,-2.0,-5,-0.21058688147296145,Bologna
